id_localidad,pdu,spread,deathsx,pob_loc
1001,0,-0.0285115838050842,8.436566013362969,723043
10011,0,-0.031095951795578,82.91873963515758,4824
10018,0,-0.0445276200771332,85.70612322635924,10501
10024,0,-0.0326483547687531,53.42355978986741,11231
10026,1,0.0116332471370697,150.23571465575304,19303
10027,1,0.0306934416294098,17.070672584499835,5858
10029,0,-0.0157992541790009,0,2013
1003,1,0.0403658449649811,0,50183
1006,1,0.0123832225799561,5.13980263157895,38912
1007,0,-0.00924873352050781,8.7968155527699,45471
1008,1,0.0411821603775024,0,7631
1009,1,0.00895315408706665,0,17372
12023,1,0.0456738471984863,63.72944725326079,23537
12040,0,-0.00143396854400635,13.053694195457359,22982
12064,1,0.0252719223499298,35.44214070529866,11286
13028,1,0.0275209546089172,5.181973641027408,115786
13030,0,-0.0413473546504974,12.178125380566424,73903
13036,1,0.0228990316390991,0,8558
13047,1,0.013788104057312,0,4522
13049,0,-0.0111269652843475,17.42767514813525,17214
13074,1,0.0120050609111786,4.043017708417566,24734
16001,0,-0.0211663842201233,19.896538002387498,10052
16005,0,-0.0437956154346466,0,9990
16006,0,-0.00195080041885376,59.95933193138575,115078
16036,1,0.0370934009552002,0,11053
16043,0,-0.00170370936393738,6.663446001099467,60029
16051,0,-0.0282475352287292,54.486015256084336,11012
16062,1,0.0317159593105316,0,18413
16072,1,0.0082593560218811,0,12474
16083,0,-0.0134977102279663,38.33033079075473,26089
16091,0,-0.0194486677646637,0,12414
16095,0,-0.0409388840198517,50.916496945010174,9820
16098,0,-0.0296858251094818,4.080133828389575,24509
16101,0,-0.0295816957950592,10.645092612305751,9394
16107,0,-0.0498074591159821,14.15708703777111,70636
18007,1,0.031011700630188,6.222388152572958,16071
18012,1,0.0369600653648376,24.014088265115582,37478
20004,0,-0.0168918669223785,0,753
2001,1,0.0145950019359589,16.44573753086599,413481
20021,1,0.0023321807384491,13.981125480601184,14305
2003,1,0.0176047682762146,35.15170156205379,91034
20039,0,-0.0223199129104614,10.3791862717963,57808
2004,1,0.0128673017024994,88.60930879777017,1410687
20052,0,-0.00864380598068237,0,6014
20136,1,0.0106136500835419,17.179178835251665,11642
20261,0,-0.0389879643917084,16.840687100033666,5938
20298,1,0.0279531180858612,0,11219
20441,0,-0.0263308584690094,0,7283
20462,0,-0.00928384065628052,0,4014
21011,0,-0.0300751924514771,0,1759
21017,0,-0.0282694548368454,0,22150
21034,1,0.0130623877048492,3.3052388035035496,30255
21041,1,0.0124977827072144,1.8032313906520498,55456
21044,0,-0.0319024622440338,0,14367
21046,0,-0.0272158980369568,0,6196
21059,0,-0.00177618861198425,0,2264
21072,0,-0.040306031703949,12.807377049180333,15616
21075,1,0.0480261445045471,9.004952723998167,11105
21098,1,0.0139136612415314,0,5719
21104,1,0.00255188345909119,0,24405
21107,1,0.0281026065349579,0,12104
21117,1,0.0306982398033142,0,12945
21125,0,-0.0485359132289886,0,6981
21129,1,0.0292553007602692,0,11883
21130,1,0.0054347813129425,0,3315
21145,0,-0.0277198851108551,23.64438839848675,12688
21146,0,-0.0342857241630554,0,795
21151,0,-0.00384491682052612,0,7511
21153,1,0.0104917883872986,0,18181
21158,0,-0.00670927762985229,14.878738282993583,6721
21167,0,-0.0484400689601898,0,9442
21178,0,-0.0292397737503052,11.906888134785966,16797
21183,1,0.0426179468631744,10.520778537611784,19010
21192,0,-0.00616610050201416,34.14717432132483,5857
21199,0,-0.0463904738426208,0,34575
21210,1,0.0112782120704651,19.312475859405165,5178
25007,1,0.0476463735103607,110.19110285552374,31763
25009,0,-0.00833922624588013,48.333501157990156,49655
25011,0,-0.00438997149467468,43.66165914304743,270260
28001,1,0.0247021913528442,84.30281571404491,11862
28009,0,-0.00204247236251831,21.23857131756846,193045
28013,1,0.00970995426177979,20.79866888519135,14424
28019,1,0.0326495766639709,46.19737829878158,17317
28028,1,0.033847987651825,0,3051
28032,0,-0.0472442209720612,15.942667132293765,526888
28037,1,0.00277146697044373,127.04810304039265,22826
29004,1,0.046789824962616,0,14333
29005,1,0.0485962331295013,6.840226001067083,73097
29007,0,-0.0248840153217316,28.723251472066632,13926
29008,0,-0.00306245684623718,0,12601
29013,1,0.0246685445308685,2.5948414551870833,77076
29018,1,0.040826290845871,3.0920503385795084,32341
29021,1,0.0229630768299103,0,15672
29028,0,-0.034858912229538,0,19435
29034,0,-0.0203235149383545,2.7392757354955335,36506
29042,1,0.0226464569568634,0,10732
29054,0,-0.00453628599643707,20.75980900975708,4817
29057,1,0.0169958770275116,0,3860
30020,0,-0.0202071070671082,0,9038
30024,0,-0.0222116410732269,0,13594
30042,0,-0.0341910421848297,0,5813
30096,1,0.00646087527275085,0,1549
30100,0,-0.0242103338241577,0,20374
30101,1,0.0140747427940369,0,30509
30106,1,0.00430211424827576,0,4083
30119,0,-0.0485112071037292,161.81229773462783,5562
30122,1,0.0353257060050964,6.8394774639217575,14621
30123,0,-0.0432525277137756,18.680087027228957,91006
30129,0,-0.0403386652469635,11.318619128466333,17670
30132,0,-0.0140311419963837,0,15036
30135,0,-0.00625452399253845,5.723115664167575,17473
30144,0,-0.0427184700965881,10.4119668205324,28813
30148,0,-0.0283581912517548,11.191106800462567,26807
30154,0,-0.0364421308040619,0,13248
30179,0,-0.0439980924129486,28.336639274581998,3529
30187,0,-0.0309453308582306,0,5293
30189,0,-0.0021992027759552,11.161212554131874,134394
30193,0,-0.00746425986289978,3.513497686947357,512310
30195,0,-0.00631195306777954,0,4641
30203,1,0.0166992545127869,0,12455
