id_localidad,p_conncected,pdu,spread,deathsx,analfabetismo,sin_edbasica,sin_acceso_energia,pisotierra,sin_drenaje,año
25011,501.96979,0,-0.00438997149467468,43.66165914304743,6.292933164,44.29173675,0.507214538,6.446261197,8.176180453,2010
2004,405.19696,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
28032,421.10623,0,-0.0472442209720612,15.942667132293765,2.578863207,32.66246983,0.897871455,2.855556248,1.967214316,2010
25011,481.55194,0,-0.00438997149467468,43.66165914304743,6.292933164,44.29173675,0.507214538,6.446261197,8.176180453,2010
28009,547.14343,0,-0.00204247236251831,21.23857131756846,1.85577035,24.77761206,0.91312288,2.277710749,0.2879144,2010
1001,492.15167,0,-0.0285115838050842,8.436566013362969,2.591088724,31.15894716,0.313299613,1.418601353,0.766202505,2010
8038,339.07611000000003,0,-0.0486763417720795,66.56312402928775,4.060773481,61.35442339,1.033853639,1.619761085,1.423921888,2010
28032,499.38007,0,-0.0472442209720612,15.942667132293765,2.578863207,32.66246983,0.897871455,2.855556248,1.967214316,2010
21072,533.68732,0,-0.040306031703949,12.807377049180333,36.36363636,76.69781425,11.46983312,15.44418843,34.90083173,2010
13028,396.90088,1,0.0275209546089172,5.181973641027408,21.54934247,50.44295386,1.974884444,22.63022987,17.37765496,2010
28032,610.26715,0,-0.0472442209720612,15.942667132293765,2.578863207,32.66246983,0.897871455,2.855556248,1.967214316,2010
13028,432.11273,1,0.0275209546089172,5.181973641027408,21.54934247,50.44295386,1.974884444,22.63022987,17.37765496,2010
2004,517.73114,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
2001,384.51703,1,0.0145950019359589,16.44573753086599,4.773590275,39.30446374,2.621478136,3.821121422,8.965771414,2010
25011,460.09488,0,-0.00438997149467468,43.66165914304743,6.292933164,44.29173675,0.507214538,6.446261197,8.176180453,2010
8019,568.64319,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
25009,537.85638,0,-0.00833922624588013,48.333501157990156,5.79889289,44.01567573,0.927891208,6.022372039,10.70031593,2010
8032,752.69891,1,0.00794285535812378,124.61480501164033,2.372669351,35.01274089,0.442865623,2.095638882,0.938134114,2010
1008,564.36035,1,0.0411821603775024,0,3.448908457,44.27266396,1.848759542,1.525262154,2.604228885,2010
16036,609.5401,1,0.0370934009552002,0,12.2856805,66.40768952,0.485352747,5.432334084,0.147377547,2010
2004,426.68689,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
12023,373.668,1,0.0456738471984863,63.72944725326079,23.39935793,66.0131609,3.535490889,13.33644387,25.97357034,2010
8048,635.37555,0,-0.0324103534221649,44.30442059663287,3.522195907,64.08798437,0.57864282,0.969723563,0.333538137,2010
7089,494.79675,0,-0.0331668555736542,7.081651441116066,9.278712746,44.40226159,1.53280486,16.07507951,32.42620945,2010
2004,465.59576,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
8019,657.37213,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
2004,567.50244,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
18007,616.42603,1,0.031011700630188,6.222388152572958,8.374674178,51.05691699,3.445149592,8.118520197,7.013766925,2010
8031,552.65808,1,0.0225104689598083,99.3315256785417,5.94795539,63.47014432,6.294904247,5.345228661,5.016884977,2010
2004,611.85254,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
28032,709.19281,0,-0.0472442209720612,15.942667132293765,2.578863207,32.66246983,0.897871455,2.855556248,1.967214316,2010
2001,655.01917,1,0.0145950019359589,16.44573753086599,4.773590275,39.30446374,2.621478136,3.821121422,8.965771414,2010
28032,544.51801,0,-0.0472442209720612,15.942667132293765,2.578863207,32.66246983,0.897871455,2.855556248,1.967214316,2010
32019,485.02808,1,0.0236901044845581,8.730193373783234,7.390928192,53.74127722,0.675036547,2.611956381,4.717184336,2010
21034,563.52039,1,0.0130623877048492,3.3052388035035496,5.698319106,51.02814276,1.086252576,8.653931063,81.73971957,2010
2001,481.66113,1,0.0145950019359589,16.44573753086599,4.773590275,39.30446374,2.621478136,3.821121422,8.965771414,2010
13030,571.7912,0,-0.0413473546504974,12.178125380566424,9.88104439,43.13324589,1.233944038,7.605388961,5.879863642,2010
1006,659.73657,1,0.0123832225799561,5.13980263157895,4.105108416,39.04600878,0.978722383,1.542262305,1.454737499,2010
2004,400.18573,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
28009,600.53473,0,-0.00204247236251831,21.23857131756846,1.85577035,24.77761206,0.91312288,2.277710749,0.2879144,2010
8019,332.14676,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
8019,548.28021,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
8021,379.37561,0,-0.0328649580478668,59.74326119596576,2.6923974,35.03475268,0.31459885,1.045472183,0.353706226,2010
8048,538.17181,0,-0.0324103534221649,44.30442059663287,3.522195907,64.08798437,0.57864282,0.969723563,0.333538137,2010
13030,560.29169,0,-0.0413473546504974,12.178125380566424,9.88104439,43.13324589,1.233944038,7.605388961,5.879863642,2010
8019,579.03638,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
2001,659.49573,1,0.0145950019359589,16.44573753086599,4.773590275,39.30446374,2.621478136,3.821121422,8.965771414,2010
13030,451.09097,0,-0.0413473546504974,12.178125380566424,9.88104439,43.13324589,1.233944038,7.605388961,5.879863642,2010
